город,оценка,дата,отзыв,URL
Краснодар,1,"Отзыв написан 26 января, 2021, 11:43","Очень нравится этот город! Динамичный, красивый! Благоустраивают постоянно!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Краснодар,2,"Отзыв написан 26 января, 2021, 11:43","Очень нравится этот город! Динамичный, красивый! Благоустраивают постоянно!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Краснодар,2,"Отзыв написан 26 января, 2021, 11:43","Очень нравится этот город! Динамичный, красивый! Благоустраивают постоянно!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Краснодар,4,"Отзыв написан 26 марта, 2021, 11:43","Очень нравится этот город! Динамичный, красивый! Благоустраивают постоянно!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Краснодар,5,"Отзыв написан 26 апреля, 2021, 11:43","Очень нравится этот город! Динамичный, красивый! Благоустраивают постоянно!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Краснодар,4,"Отзыв написан 26 апреля, 2021, 11:43","Очень нравится этот город! Динамичный, красивый! Благоустраивают постоянно!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Новосибирск,2,"Отзыв написан 19 января, 2021, 20:48","Всем привет! Никогда не писал отзывы, но, видимо, пришло время))) И цель данного послания не в том, чтобы кого-то обидеть, задеть, а выразить свою субъективную точку зрения и помочь людям, планирующим переезд в Новосибирск, более детально взвесить все +/-. Постараюсь тезисно отобразить мое видение на ситуацию в городе Итак. Вот уже почти три года, как мы являемся жителями Новосибирска, переехав из Владивостока. Начну с плюсов :1. Низкие, по сравнению с ПК, цены на недвижимость. Аренда в том числе. 2. Низкие цены на продукты питания3. Доступные цены на перелеты в Центральную часть РФ и Европу. 4. Низкие цены на шмотки ( от эконом до премиального сегмента). 5. Достойный уровень образования в средних и высших учебных заведениях. 6. Медицина. Еë уровень на порядок выше, нежели на ДВ. Речь не о поликлиниках, а узконаправленных мед. учреждениях. В поликлиниках всё то же самое))) 7. Город не испытывает проблем с определением детворы в дошкольные и образовательные учреждения. К сожалению плюсы на этом, на мой взгляд, заканчиваются.Переходим к минусам :1. Уровень оплаты труда. Он крайне низок по отношению к ДВ региону. Пенсионеры переехавшие в Сибирь из ПК теряют дальневосточные надбавки. 2. Работа. Без ""волосатой"" руки вы не получите в этом городе место соответствующее вашим компетенциям, даже не мечтайте. Работать придется с ""низов"", долго, пока не обзаведетесь определенными связями. Кадрового дефицита город не испытывает благодаря молодёжи из регионов, которая готова работать ""За недорого"" оплачивая львиную долю своих доходов за съемное жильë. 3. Ментальность. Это полный п@₽&ц. Сибирский характер - это не про Новосибирск. Возможно про другие сибирские города, но не про него. Большинство людей в нём черствые, с гнильцой, закрытые, унылые, злые, завистливые ( уж простите меня новосибирцы). Знаете, суровые такие товарищи. Причем сейчас, имея знакомых среди них и немного изучив историю формирования такого поведения выяснилось, что тенденция к негативному настрою в обществе складывается на протяжении последнего десятилетия. Возможно подобный настрой навязан людям. Подставы и перекладывания своей вины на других людей - это нормальная практика. 4. Дороги. Их в городе нет. От слова ""совсем"". 5. Культура. Речь не о театре, я настолько некультурный человек, что не был в нём. Нормальной практикой считается открыть дверь авто для смачного харчка, пожирания конфет и печений в магазинах в зоне самообслуживания, отламывания голов креветкам грязными руками в этих же зонах, общения родным русским матом для связки слов а так-же полный игнор женщин и стариков при необходимости уступить место в общественном транспорте. 6. Грязь. В городе она повсюду с марта по ноябрь. Все зависит от количества осадков. Если осадков нет, грязь превращается в пыль.она везде, от подоконников до лёгких. 7. Культура вождения 5 из 10. После Владивостока терпимо. Вождение у местных автолюбителей агрессивное только между короткими отрезками ограниченными светофорами. Любят посигналить))) На этом основные аспекты, которые были мной отмечены закончились. Про климат писать считаю не имеет смысла, ибо говорить о том что в Сибири жутко холодно зимой абсурдно, на то она и Сибирь. Как-то 50/50 получилось ))) Не судите очень строго, писал все как вижу и выражал только свою точку зрения на происходящее. Честно, от переезда ожидал большего и если бы была возможность перенестись в прошлое выбор был бы сделан не в пользу Новосибирска.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Кивлей,3,"Отзыв написан 19 января, 2021, 16:02",Деревни давно нет. Остался один дом и несколько дачных построек,https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Пионерный,5,"Отзыв написан 8 января, 2021, 10:29","Пионерный посёлок на реке Сулак в Дагестане, известен своим большим форелевым хозяйством. Сюда приезжают не только полюбоваться красивыми видами, но и полакомиться блюдами из форели, которую тут же можно самому выловить за плату и которую тебе здесь же и приготовят. Из посёлка хорошо просматривается плотина на реке. Можно совершить прогулку по окрестностям и посетить водопад.",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
остановочный пункт Кумтор-Кале,5,"Отзыв написан 8 января, 2021, 10:14","Кумтор-Кале — ныне упразднённое село в Кумторкалинском районе в 4 километрах к юго-западу от Коркмаскала у подножья бархана Сарыкум. Осталась лишь историческое здание станции Кумъ-Торкале на железнодорожной линии Шамхал — Буйнакс. Село прекратило своё существование после землетрясения 1970 года. Ныне это лишь туристический объект. Главная достопримечательность — бархан Сарыкум высотой 245-252 метра, на который проложена тропа через пески. Площадь бархана, а точнее дюны 4 квадратных километра, имеет длину в 3 километра и в ширину — 2 километра. Здесь снимался культовый фильм «Белое солнце пустыни».",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Тверь,5,"Отзыв написан 5 января, 2021, 22:14","Хороший город Тверь! Но в последний визит, когда город был основательно припорошен снегом и уже загорелись новогодние украшения, особенно бросились в глаза вывески! Больше в центре города! Очень много на английском языке. Понятно, что так привлекали своих покупателей стародавние купцы. Иностранные и непонятные слова сулят качество, невиданное на родной земле! Особенно смешно было видеть однажды в музее надпись на чугунном утюге :""PATENT"". А вообще - то это языковая агрессия. Немного надоедает это все!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Тверь,4,"Отзыв написан 5 января, 2021, 22:14","Хороший город Тверь! Но в последний визит, когда город был основательно припорошен снегом и уже загорелись новогодние украшения, особенно бросились в глаза вывески! Больше в центре города! Очень много на английском языке. Понятно, что так привлекали своих покупателей стародавние купцы. Иностранные и непонятные слова сулят качество, невиданное на родной земле! Особенно смешно было видеть однажды в музее надпись на чугунном утюге :""PATENT"". А вообще - то это языковая агрессия. Немного надоедает это все!",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
Кронштадт,5,"Отзыв написан 5 января, 2021, 10:01","В Кронштадт лучше ехать с экскурсией, тк можно посмотреть город и проехать на катере с воды заглянуть в форты, которые раньше охраняли вход в финский залив.Рассматривая эту мощь и корабли флота невольно переполняет гордость за свою страну, людей которые смогли отстоять и отбросить врагов. Военный собор воплощение мощи и подвигов моряков, сильное и незабываемое впечатление.Многое в запустении, но это не меняет общего патриотического настроения.Для детей и молодежи особенно рекомендую",https://www.komandirovka.ru/countries/russia/cities/reviews/?PAGEN_1=1
