город,оценка,дата
Сатка,1.0,"Отзыв написан 29 апреля, 2021, 14:24"
Красноуральск,1.0,"Отзыв написан 24 апреля, 2021, 15:28"
Красноуральск,1.0,"Отзыв написан 24 апреля, 2021, 15:23"
Ипатово,3.0,"Отзыв написан 23 апреля, 2021, 21:29"
Калуга,5.0,"Отзыв написан 22 апреля, 2021, 17:14"
Сарапул,1.0,"Отзыв написан 22 апреля, 2021, 10:42"
Таловка,5.0,"Отзыв написан 8 апреля, 2021, 09:51"
Порошино,5.0,"Отзыв написан 6 апреля, 2021, 09:32"
Дубровка,5.0,"Отзыв написан 5 апреля, 2021, 22:21"
Березуга,1.0,"Отзыв написан 4 апреля, 2021, 01:10"
Михайловское,3.0,"Отзыв написан 27 марта, 2021, 17:48"
Кувшиново,3.0,"Отзыв написан 26 марта, 2021, 08:16"
Васильевское,3.0,"Отзыв написан 25 марта, 2021, 19:25"
Орудово,2.0,"Отзыв написан 25 марта, 2021, 19:16"
Васильевский Мох,2.0,"Отзыв написан 25 марта, 2021, 09:21"
Тованово,4.0,"Отзыв написан 20 марта, 2021, 09:45"
Орша,3.0,"Отзыв написан 20 марта, 2021, 09:33"
Змеево Михайловское сельское поселение,3.0,"Отзыв написан 19 марта, 2021, 10:26"
Кириши,1.0,"Отзыв написан 17 марта, 2021, 11:34"
Адикаевка,5.0,"Отзыв написан 14 марта, 2021, 07:23"
Ларионовская,5.0,"Отзыв написан 5 марта, 2021, 21:11"
Ленино,4.0,"Отзыв написан 23 февраля, 2021, 19:37"
Ильиновка,3.0,"Отзыв написан 22 февраля, 2021, 22:45"
Малое Терюшево,5.0,"Отзыв написан 22 февраля, 2021, 08:12"
Бийск,4.0,"Отзыв написан 21 февраля, 2021, 18:03"
Благовещенск,5.0,"Отзыв написан 19 февраля, 2021, 07:23"
Приволье,5.0,"Отзыв написан 16 февраля, 2021, 05:34"
Черемошня,5.0,"Отзыв написан 15 февраля, 2021, 11:11"
Набережные Челны,3.0,"Отзыв написан 13 февраля, 2021, 15:12"
Огурцово,3.0,"Отзыв написан 10 февраля, 2021, 11:40"
Краснодар,3.0,"Отзыв написан 5 февраля, 2021, 18:39"
